TIPO_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
ADA-002_FULL,111301,111301,0.0
ADA-002_FULL,111301,111303,0.25421602243967995
ADA-002_FULL,111301,111399,0.27666071303723666
ADA-002_FULL,111301,111302,0.2840698697976221
ADA-002_FULL,111302,111302,0.0
ADA-002_FULL,111302,111303,0.2435749747483083
ADA-002_FULL,111302,111399,0.27603047290073346
ADA-002_FULL,111302,111301,0.2840698697976221
ADA-002_FULL,111303,111303,0.0
ADA-002_FULL,111303,111399,0.2344984028458709
ADA-002_FULL,111303,111302,0.2435749747483083
ADA-002_FULL,111303,111301,0.25421602243967995
ADA-002_FULL,111399,111399,0.0
ADA-002_FULL,111399,119999,0.22133776412478182
ADA-002_FULL,111399,111303,0.2344984028458709
ADA-002_FULL,111399,139399,0.2617335216883879
ADA-002_FULL,111399,119905,0.2674088551245249
ADA-002_FULL,111399,111302,0.27603047290073346
ADA-002_FULL,111399,111301,0.27666071303723666
ADA-002_FULL,111399,119906,0.28027325193274805
ADA-002_FULL,111399,116499,0.2843484096908451
ADA-002_FULL,111399,112199,0.2850953766356336
ADA-002_FULL,112101,112101,0.0
ADA-002_FULL,112101,112199,0.17047876796892864
ADA-002_FULL,112101,112102,0.18820513849017226
ADA-002_FULL,112102,112102,0.0
ADA-002_FULL,112102,112101,0.18820513849017226
ADA-002_FULL,112102,112199,0.22760981117391754
ADA-002_FULL,112199,112199,0.0
ADA-002_FULL,112199,112101,0.17047876796892864
ADA-002_FULL,112199,112102,0.22760981117391754
ADA-002_FULL,112199,119999,0.2766850013853087
ADA-002_FULL,112199,111399,0.2850953766356336
ADA-002_FULL,112199,116499,0.29794360455555935
ADA-002_FULL,113000,113000,0.0
ADA-002_FULL,113000,135100,0.298937399068299
ADA-002_FULL,113000,119906,0.2997695562056849
ADA-002_FULL,114800,114800,0.0
ADA-002_FULL,115600,115600,0.0
ADA-002_FULL,115600,119905,0.2738671585660626
ADA-002_FULL,115600,116402,0.2901438105118102
ADA-002_FULL,116401,116401,0.0
ADA-002_FULL,116401,116499,0.2704644698823515
ADA-002_FULL,116402,116402,0.0
ADA-002_FULL,116402,116499,0.2790585711012257
ADA-002_FULL,116402,115600,0.2901438105118102
ADA-002_FULL,116403,116403,0.0
ADA-002_FULL,116403,133408,0.2858509127311409
ADA-002_FULL,116499,116499,0.0
ADA-002_FULL,116499,119999,0.2539838564127911
ADA-002_FULL,116499,116401,0.2704644698823515
ADA-002_FULL,116499,116402,0.2790585711012257
ADA-002_FULL,116499,111399,0.2843484096908451
ADA-002_FULL,116499,112199,0.29794360455555935
ADA-002_FULL,119901,119901,0.0
ADA-002_FULL,119901,119908,0.268789177573333
ADA-002_FULL,119901,119906,0.2703949671687361
ADA-002_FULL,119901,119999,0.2836579866305466
ADA-002_FULL,119901,119907,0.29010751397777573
ADA-002_FULL,119901,119905,0.2981040042693189
ADA-002_FULL,119902,119902,0.0
ADA-002_FULL,119902,119904,0.2529187892798759
ADA-002_FULL,119902,119999,0.26389486732916856
ADA-002_FULL,119902,119905,0.2817484714615475
ADA-002_FULL,119903,119903,0.0
ADA-002_FULL,119903,119904,0.25897496338747084
ADA-002_FULL,119903,119999,0.2604409618848187
ADA-002_FULL,119903,119906,0.2760159582319005
ADA-002_FULL,119903,119905,0.2830642696233261
ADA-002_FULL,119903,119909,0.28607367755921903
ADA-002_FULL,119904,119904,0.0
ADA-002_FULL,119904,119902,0.2529187892798759
ADA-002_FULL,119904,119903,0.25897496338747084
ADA-002_FULL,119904,119999,0.2651016110634606
ADA-002_FULL,119904,119905,0.2663094859528535
ADA-002_FULL,119905,119905,0.0
ADA-002_FULL,119905,119999,0.2272484649642826
ADA-002_FULL,119905,119904,0.2663094859528535
ADA-002_FULL,119905,111399,0.2674088551245249
ADA-002_FULL,119905,119906,0.2707087786168052
ADA-002_FULL,119905,115600,0.2738671585660626
ADA-002_FULL,119905,119902,0.2817484714615475
ADA-002_FULL,119905,139399,0.28288501459213644
ADA-002_FULL,119905,119903,0.2830642696233261
ADA-002_FULL,119905,119901,0.2981040042693189
ADA-002_FULL,119906,119906,0.0
ADA-002_FULL,119906,119908,0.25926684393931465
ADA-002_FULL,119906,119901,0.2703949671687361
ADA-002_FULL,119906,119905,0.2707087786168052
ADA-002_FULL,119906,119999,0.27357349187457497
ADA-002_FULL,119906,119903,0.2760159582319005
ADA-002_FULL,119906,111399,0.28027325193274805
ADA-002_FULL,119906,119907,0.28760335997499187
ADA-002_FULL,119906,113000,0.2997695562056849
ADA-002_FULL,119907,119907,0.0
ADA-002_FULL,119907,119908,0.13835356351620123
ADA-002_FULL,119907,119999,0.28539151329280826
ADA-002_FULL,119907,119906,0.28760335997499187
ADA-002_FULL,119907,119901,0.29010751397777573
ADA-002_FULL,119908,119908,0.0
ADA-002_FULL,119908,119907,0.13835356351620123
ADA-002_FULL,119908,119906,0.25926684393931465
ADA-002_FULL,119908,119901,0.268789177573333
ADA-002_FULL,119908,119999,0.28152756562855624
ADA-002_FULL,119909,119909,0.0
ADA-002_FULL,119909,119903,0.28607367755921903
ADA-002_FULL,119909,119999,0.28857820174450527
ADA-002_FULL,119999,119999,0.0
ADA-002_FULL,119999,139399,0.20761075493739703
ADA-002_FULL,119999,111399,0.22133776412478182
ADA-002_FULL,119999,119905,0.2272484649642826
ADA-002_FULL,119999,116499,0.2539838564127911
ADA-002_FULL,119999,119903,0.2604409618848187
ADA-002_FULL,119999,119902,0.26389486732916856
ADA-002_FULL,119999,119904,0.2651016110634606
ADA-002_FULL,119999,119906,0.27357349187457497
ADA-002_FULL,119999,112199,0.2766850013853087
ADA-002_FULL,119999,119908,0.28152756562855624
ADA-002_FULL,119999,119901,0.2836579866305466
